label,window_start,lam0,c,total_cost,pnl_variance,premium0
gbm_vol_0.15,2024-03-19,0.3,4.0,0.023511358059339897,0.09443588842418515,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.3,8.0,0.0,0.1519913888949424,2.3928401105156696
gbm_vol_0.15,2024-03-19,0.3,16.0,0.0,0.1519913888949424,2.3928401105156696
gbm_vol_0.15,2024-03-19,3.0,0.25,0.19222617776050996,0.0035627990914679315,2.3928401105156696
gbm_vol_0.15,2024-03-19,3.0,0.5,0.16597101918599472,0.0041971550509580366,2.3928401105156696
gbm_vol_0.15,2024-03-19,3.0,1.0,0.1378806701636541,0.006563966514182625,2.3928401105156696
gbm_vol_0.15,2024-03-19,3.0,2.0,0.11182089659213831,0.01357332021978136,2.3928401105156696
gbm_vol_0.15,2024-03-19,3.0,4.0,0.07773892456188505,0.029503823479772463,2.3928401105156696
gbm_vol_0.15,2024-03-19,3.0,8.0,0.028610614150105344,0.0816072332927784,2.3928401105156696
gbm_vol_0.15,2024-03-19,3.0,16.0,0.0,0.1519913888949424,2.3928401105156696
gbm_vol_0.15,2024-03-22,0.03,0.25,0.06802234856966362,0.015260410817461566,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.03,0.5,0.05667753953543273,0.010820358726420797,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.03,1.0,0.04642502189412544,0.014041448977013976,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.03,2.0,0.02646243942548502,0.03538367606417198,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.03,4.0,0.0,0.12120749032125464,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.03,8.0,0.0,0.12120749032125464,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.03,16.0,0.0,0.12120749032125464,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.3,0.25,0.07961029488396146,0.013926425254711999,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.3,0.5,0.06956430940979846,0.015735539048632768,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.3,1.0,0.05741335969110206,0.01123165908999077,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.3,2.0,0.04788424766965081,0.012699535947631672,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.3,4.0,0.02930055941309663,0.031489399224202165,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.3,8.0,0.0,0.12120749032125464,3.3117862659005017
gbm_vol_0.15,2024-03-22,0.3,16.0,0.0,0.12120749032125464,3.3117862659005017
gbm_vol_0.15,2024-03-22,3.0,0.25,0.08624897191906124,0.011730964279483704,3.3117862659005017
gbm_vol_0.15,2024-03-22,3.0,0.5,0.08048029242769787,0.013623523063896944,3.3117862659005017
gbm_vol_0.15,2024-03-22,3.0,1.0,0.07099574718250759,0.01619840721911255,3.3117862659005017
gbm_vol_0.15,2024-03-22,3.0,2.0,0.05875972619346527,0.01165809377551944,3.3117862659005017
gbm_vol_0.15,2024-03-22,3.0,4.0,0.04925030135956634,0.011585924202560095,3.3117862659005017
gbm_vol_0.15,2024-03-22,3.0,8.0,0.03193523662168689,0.02917652584883297,3.3117862659005017
gbm_vol_0.15,2024-03-22,3.0,16.0,0.0,0.12120749032125464,3.3117862659005017
gbm_vol_0.15,2024-03-25,0.03,0.25,0.0357282813081279,0.00336131732034394,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.03,0.5,0.028399041249446744,0.0019258783185392458,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.03,1.0,0.018539587783534966,0.0036208810219561585,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.03,2.0,0.0,0.019229804420418484,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.03,4.0,0.0,0.019229804420418484,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.03,8.0,0.0,0.019229804420418484,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.03,16.0,0.0,0.019229804420418484,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.3,0.25,0.046461327632590296,0.002529669864786027,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.3,0.5,0.0366559031736568,0.003540549478983485,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.3,1.0,0.029109504379732597,0.0019997165788558156,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.3,2.0,0.01995466153569622,0.003776219716603976,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.3,4.0,0.0018386615315758605,0.015791763035686385,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.3,8.0,0.0,0.019229804420418484,1.7283507371163547
gbm_vol_0.15,2024-03-25,0.3,16.0,0.0,0.019229804420418484,1.7283507371163547
gbm_vol_0.15,2024-03-25,3.0,0.25,0.052383812197290575,0.0018824641011039186,1.7283507371163547
gbm_vol_0.15,2024-03-25,3.0,0.5,0.04724051510770338,0.00245485034466075,1.7283507371163547
gbm_vol_0.15,2024-03-25,3.0,1.0,0.03802103182105953,0.0034429357071015087,1.7283507371163547
gbm_vol_0.15,2024-03-25,3.0,2.0,0.029769039926178277,0.002106656675493204,1.7283507371163547
gbm_vol_0.15,2024-03-25,3.0,4.0,0.02125830796022631,0.0031773498814424983,1.7283507371163547
gbm_vol_0.15,2024-03-25,3.0,8.0,0.00442667061626642,0.011900519915653664,1.7283507371163547
