label,window_start,lam0,c,total_cost,pnl_variance,premium0
gbm_vol_0.15,2024-03-04,0.03,0.25,0.054448680460952664,0.004131492980932933,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,0.5,0.04856443711869437,0.006829847764702942,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,1.0,0.03704641112866185,0.011687484771819953,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,1.5,0.025719954323897294,0.026791342652568446,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,2.0,0.014572283387707373,0.053368620847584036,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,3.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,4.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,6.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,8.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,11.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.03,16.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,0.25,0.06360565484863397,0.0042031397280708005,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,0.5,0.05553532263258235,0.004074863630965689,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,1.0,0.049408028526536384,0.00619126356640357,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,1.5,0.04401639432989134,0.0082011562794394,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,2.0,0.03869120045845253,0.010324168684041903,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,3.0,0.028142113819559195,0.022555489796020987,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,4.0,0.01775748999795888,0.04432638437873234,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,6.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,8.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,11.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,0.3,16.0,0.0,0.11052618595576309,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,0.25,0.06883625607874118,0.0046164482428537315,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,0.5,0.06418413639866072,0.0042471738671489715,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,1.0,0.05669258923366388,0.004037478629170193,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,1.5,0.05272659301452071,0.0044968693198651575,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,2.0,0.05019114941829063,0.005673870951210616,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,3.0,0.04516155969791161,0.008201941593740719,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,4.0,0.04021808761581291,0.00935748159326481,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,6.0,0.030392308873373783,0.019153020442715107,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,8.0,0.020720763250564617,0.03693234708541188,2.9830566032915633
gbm_vol_0.15,2024-03-04,3.0,11.0,0.006391900142065912,0.08245613464251351,2.9830566032915633
